Date,Open,High,Low,Close,Adj Close,Volume
06-01-2023,18008.05078,18047.40039,17795.55078,17859.44922,17859.44922,238200
09-01-2023,17952.55078,18141.40039,17936.15039,18101.19922,18101.19922,257200
10-01-2023,18121.30078,18127.59961,17856,17914.15039,17914.15039,283300
11-01-2023,17924.25,17976.34961,17824.34961,17895.69922,17895.69922,259900
12-01-2023,17920.84961,17945.80078,17761.65039,17858.19922,17858.19922,227800
13-01-2023,17867.5,17999.34961,17774.25,17956.59961,17956.59961,256700
16-01-2023,18033.15039,18049.65039,17853.65039,17894.84961,17894.84961,206200
17-01-2023,17922.80078,18072.05078,17886.94922,18053.30078,18053.30078,219100
18-01-2023,18074.30078,18183.75,18032.44922,18165.34961,18165.34961,255800
19-01-2023,18119.80078,18155.19922,18063.75,18107.84961,18107.84961,237800
20-01-2023,18115.59961,18145.44922,18016.19922,18027.65039,18027.65039,237200
23-01-2023,18118.44922,18162.59961,18063.44922,18118.55078,18118.55078,202500
24-01-2023,18183.94922,18201.25,18078.65039,18118.30078,18118.30078,216900
25-01-2023,18093.34961,18100.59961,17846.15039,17891.94922,17891.94922,257200
27-01-2023,17877.19922,17884.75,17493.55078,17604.34961,17604.34961,476300
30-01-2023,17541.94922,17709.15039,17405.55078,17648.94922,17648.94922,432400
31-01-2023,17731.44922,17735.69922,17537.55078,17662.15039,17662.15039,398300
01-02-2023,17811.59961,17972.19922,17353.40039,17616.30078,17616.30078,512900
02-02-2023,17517.09961,17653.90039,17445.94922,17610.40039,17610.40039,490100
03-02-2023,17721.75,17870.30078,17584.19922,17854.05078,17854.05078,424100
06-02-2023,17818.55078,17823.69922,17698.34961,17764.59961,17764.59961,282500
07-02-2023,17790.09961,17811.15039,17652.55078,17721.5,17721.5,354400
08-02-2023,17750.30078,17898.69922,17744.15039,17871.69922,17871.69922,291000
09-02-2023,17885.5,17916.90039,17779.80078,17893.44922,17893.44922,260900
10-02-2023,17847.55078,17876.94922,17801,17856.5,17856.5,232000
13-02-2023,17859.09961,17880.69922,17719.75,17770.90039,17770.90039,231300
14-02-2023,17840.34961,17954.55078,17800.05078,17929.84961,17929.84961,244500
15-02-2023,17896.59961,18034.09961,17853.80078,18015.84961,18015.84961,229300
16-02-2023,18094.75,18134.75,18000.65039,18035.84961,18035.84961,230200
17-02-2023,17974.84961,18034.25,17884.59961,17944.19922,17944.19922,208100
20-02-2023,17965.55078,18004.34961,17818.40039,17844.59961,17844.59961,174600
21-02-2023,17905.80078,17924.90039,17800.30078,17826.69922,17826.69922,198200
22-02-2023,17755.34961,17772.5,17529.44922,17554.30078,17554.30078,204000
23-02-2023,17574.65039,17620.05078,17455.40039,17511.25,17511.25,240800
24-02-2023,17591.34961,17599.75,17421.80078,17465.80078,17465.80078,209400
27-02-2023,17428.59961,17451.59961,17299,17392.69922,17392.69922,246400
28-02-2023,17383.25,17440.44922,17255.19922,17303.94922,17303.94922,420900
01-03-2023,17360.09961,17467.75,17345.25,17450.90039,17450.90039,272900
02-03-2023,17421.5,17445.80078,17306,17321.90039,17321.90039,310700
03-03-2023,17451.25,17644.75,17427.69922,17594.34961,17594.34961,356200
06-03-2023,17680.34961,17799.94922,17671.94922,17711.44922,17711.44922,362800
08-03-2023,17665.75,17766.5,17602.25,17754.40039,17754.40039,267000
09-03-2023,17772.05078,17772.34961,17573.59961,17589.59961,17589.59961,262400
10-03-2023,17443.80078,17451.5,17324.34961,17412.90039,17412.90039,235900
13-03-2023,17421.90039,17529.90039,17113.44922,17154.30078,17154.30078,254900
14-03-2023,17160.55078,17224.65039,16987.09961,17043.30078,17043.30078,290600
15-03-2023,17166.44922,17211.34961,16938.90039,16972.15039,16972.15039,248200
16-03-2023,16994.65039,17062.44922,16850.15039,16985.59961,16985.59961,349800
17-03-2023,17111.80078,17145.80078,16958.15039,17100.05078,17100.05078,408100
20-03-2023,17066.59961,17066.59961,16828.34961,16988.40039,16988.40039,241800
21-03-2023,17060.40039,17127.69922,17016,17107.5,17107.5,246700
22-03-2023,17177.44922,17207.25,17107.84961,17151.90039,17151.90039,0
23-03-2023,17097.40039,17205.40039,17045.30078,17076.90039,17076.90039,219200
24-03-2023,17076.19922,17109.44922,16917.34961,16945.05078,16945.05078,228000
27-03-2023,16984.30078,17091,16918.55078,16985.69922,16985.69922,218400
28-03-2023,17031.75,17061.75,16913.75,16951.69922,16951.69922,238800
29-03-2023,16977.30078,17126.15039,16940.59961,17080.69922,17080.69922,345900
31-03-2023,17210.34961,17381.59961,17204.65039,17359.75,17359.75,263900
03-04-2023,17427.94922,17428.05078,17312.75,17398.05078,17398.05078,230200
05-04-2023,17422.30078,17570.55078,17402.69922,17557.05078,17557.05078,248300
06-04-2023,17533.84961,17638.69922,17502.84961,17599.15039,17599.15039,242700
10-04-2023,17634.90039,17694.09961,17597.94922,17624.05078,17624.05078,254800
11-04-2023,17704.80078,17748.75,17655.15039,17722.30078,17722.30078,304300
12-04-2023,17759.55078,17825.75,17717.25,17812.40039,17812.40039,232800
13-04-2023,17807.30078,17842.15039,17729.65039,17828,17828,285800
17-04-2023,17863,17863,17574.05078,17706.84961,17706.84961,357400
18-04-2023,17766.59961,17766.59961,17610.19922,17660.15039,17660.15039,258900
19-04-2023,17653.34961,17666.15039,17579.84961,17618.75,17618.75,281500
20-04-2023,17638.59961,17684.44922,17584.34961,17624.44922,17624.44922,215100
21-04-2023,17639.75,17663.19922,17553.94922,17624.05078,17624.05078,230200
24-04-2023,17707.55078,17754.5,17612.5,17743.40039,17743.40039,255700
25-04-2023,17761.55078,17807.44922,17716.84961,17769.25,17769.25,297400
26-04-2023,17767.30078,17827.75,17711.19922,17813.59961,17813.59961,233000
